Prescale	Path	Dataset	Group		Total	HLTPhysics0	HLTPhysics1	
-1	HLT_Photon500_v5	PPD	OnlineMonitor,ExpressPhysics,SinglePhoton		2.0	0.0	2.0
-1	HLT_PFMETNoMu90_PFMHTNoMu90_IDTight_v5	EXO	OnlineMonitor,MET		0.0	0.0	0.0
-1	HLT_DiPFJet25_FBEta3_NoCaloMatched_v4	FSQ	OnlineMonitor,FSQJets		0.0	0.0	0.0
-1	HLT_Ele25_eta2p1_WPTight_Gsf_v6	EGM	OnlineMonitor,SingleElectron		1358.0	678.0	680.0
-1	HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v3	MUO	OnlineMonitor,DoubleMuon		313.0	141.0	172.0
-1	HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v6	null	OnlineMonitor,DoubleEG		165.0	93.0	72.0
-1	HLT_PFHT600_v6	SUS	OnlineMonitor,JetHT		53.0	33.0	20.0
-1	HLT_PFHT300_PFMET110_v4	SUS,EXO	OnlineMonitor,HTMHT		77.0	39.0	38.0
-1	HLT_IsoMu24_v2	SMP,Top,Higgs ,MUO	OnlineMonitor,ExpressPhysics,SingleMuon		1501.0	732.0	769.0
-1	HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v7	B2G	OnlineMonitor,SingleElectron		84.0	31.0	53.0
-1	HLT_Mu33_Ele33_CaloIdL_GsfTrkIdVL_v1	EXO	OnlineMonitor,MuonEG		22.0	10.0	12.0
-1	HLT_Mu16_TkMu0_dEta18_Phi_v3	BPH	OnlineMonitor,MuOnia		0.0	0.0	0.0
-1	HLT_L1NotBptxOR_v2	null	OnlineMonitor,EmptyBX		0.0	0.0	0.0
-1	HLT_BTagMu_DiJet170_Mu5_v2	BTV	OnlineMonitor,BTagMu		65.0	29.0	36.0
-1	HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack_v3	EXO	OnlineMonitor,DisplacedJet		0.0	0.0	0.0
-1	HLT_AK4PFJet50_v5	HIN	OnlineMonitor,HINPFJets		0.0	0.0	0.0
-1	HLT_IsoTkMu22_eta2p1_v3	SMP,MUO	OnlineMonitor,SingleMuon		1459.0	737.0	722.0
-1	HLT_BTagMu_DiJet70_Mu5_v3	BTV	OnlineMonitor,BTagMu		69.0	30.0	39.0
-1	HLT_DiPFJetAve80_v5	JME	OnlineMonitor,JetHT		7.0	3.0	4.0
-1	HLT_L1FatEvents_part3_v1	null	HLTPhysics3		0.0	0.0	0.0
-1	HLT_PFHT400_SixJet30_v5	HIG	OnlineMonitor,JetHT		17.0	9.0	8.0
-1	HLT_Photon50_v6	SMP	OnlineMonitor,SinglePhoton		7.0	4.0	3.0
