Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 4|1|1,1,1,4.17,+/-,0.01,4.11,+/-,0.21,4.11,+/-,0.21,1.43%,+/-,4.86%
HLT_Dimuon0_Phi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,4.07,+/-,0.01,4.19,+/-,0.21,4.19,+/-,0.21,3.03%,+/-,4.81%
HLT_L1_TripleJet_VBF,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,1400,1400,3.96,+/-,0.01,5513.78,+/-,7.52,3.94,+/-,0.01,0.57%,+/-,0.36%
HLT_PFJet260,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,8,8,3.94,+/-,0.01,29.60,+/-,0.55,3.70,+/-,0.07,6.15%,+/-,1.67%
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,3.75,+/-,0.01,3.46,+/-,0.19,3.46,+/-,0.19,7.60%,+/-,4.66%
HLT_Mu27_TkMu8,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,3.73,+/-,0.01,3.35,+/-,0.19,3.35,+/-,0.19,10.04%,+/-,4.49%
HLT_Ele12_CaloIdL_TrackIdL_IsoVL,L1_SingleEG10 OR L1_SingleEG15,3000 | 4,L1_SingleEG15 OR L1_SingleEG10, 4|3000,125,125,3.66,+/-,0.01,450.42,+/-,2.15,3.60,+/-,0.02,1.43%,+/-,0.58%
HLT_Mu12_Photon25_CaloIdL_L1OR,L1_Mu5_EG20 OR L1_Mu20_EG10,1 | 1,L1_Mu5_EG20 OR L1_Mu20_EG10, 1|1,2,2,3.44,+/-,0.01,7.14,+/-,0.27,3.57,+/-,0.14,3.65%,+/-,3.67%
HLT_Mu16_TkMu0_dEta18_Onia,L1_SingleMu16 OR L1_SingleMu14er,1 | 75,L1_SingleMu14er OR L1_SingleMu16, 75|1,1,1,3.43,+/-,0.01,3.50,+/-,0.19,3.50,+/-,0.19,1.92%,+/-,5.32%
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,3.43,+/-,0.01,3.22,+/-,0.18,3.22,+/-,0.18,6.11%,+/-,4.99%
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,L1_DoubleEG_22_10,1,L1_DoubleEG_22_10, 1,1,1,3.41,+/-,0.01,2.97,+/-,0.17,2.97,+/-,0.17,12.78%,+/-,4.48%
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,3.40,+/-,0.01,3.02,+/-,0.18,3.02,+/-,0.18,11.07%,+/-,4.62%
