file1:	frozen_2015_25ns14e33_v4.4_HLT_V1_Rate_v2_hltmenu_13TeV_2.0e33_20151017_p.tsv
file2:	frozen_2015_25ns14e33_v4.4_HLT_V1_25ns_data_Run_256843_Rates.tsv
	file1						file2			
path	prescale1		rate1			prescale2		rate2				bias
HLT_HT575_v1	70	0.32	 ±	0.03		70	0.37	 ±	0.03		13.51%	±	10.72%
HLT_PFHT200_v2	3060	0.52	 ±	0.04		3060	0.45	 ±	0.03		13.46%	±	8.81%
HLT_VBF_DisplacedJet40_Hadronic_v2	1	1.61	 ±	0.06		1	1.86	 ±	0.07		13.44%	±	4.69%
HLT_Dimuon0_Phi_Barrel_v2	1	4.39	 ±	0.11		1	3.80	 ±	0.10		13.44%	±	3.15%
HLT_PFHT550_4JetPt50_v1	15	0.91	 ±	0.06		15	0.79	 ±	0.05		13.19%	±	7.93%
HLT_Photon26_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon16_AND_HE10_R9Id65_Eta2_Mass60_v2	42	0.24	 ±	0.03		42	0.21	 ±	0.02		12.50%	±	13.75%
HLT_ECALHT800_v2	1	0.08	 ±	0.02		1	0.07	 ±	0.01		12.50%	±	25.19%
HLT_Mu40_eta2p1_PFJet200_PFJet50_v3	1	0.57	 ±	0.04		1	0.50	 ±	0.04		12.28%	±	9.33%
HLT_VBF_DisplacedJet40_TightID_Hadronic_v2	1	1.01	 ±	0.06		1	1.15	 ±	0.05		12.17%	±	6.32%
HLT_PFHT475_v2	60	1.00	 ±	0.06		60	0.88	 ±	0.05		12.00%	±	7.27%
HLT_QuadPFJet_VBF_v4	350	0.42	 ±	0.04		350	0.37	 ±	0.03		11.90%	±	11.02%
HLT_MET75_IsoTrk50_v2	1	0.26	 ±	0.02		1	0.23	 ±	0.02		11.54%	±	10.27%
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v3	300	0.94	 ±	0.06		300	0.84	 ±	0.05		10.64%	±	7.80%
HLT_DiPFJetAve140_v2	1	0.38	 ±	0.04		1	0.34	 ±	0.03		10.53%	±	12.29%
HLT_Photon30_R9Id90_HE10_IsoM_v3	400	0.57	 ±	0.04		400	0.51	 ±	0.04		10.53%	±	9.42%
HLT_RsqMR270_Rsq0p09_MR200_4jet_v2	1	0.20	 ±	0.02		1	0.18	 ±	0.02		10.00%	±	13.45%
HLT_HT350_DisplacedDijet40_DisplacedTrack_v2	1	0.20	 ±	0.02		1	0.18	 ±	0.02		10.00%	±	13.45%
HLT_PFHT300_v2	1020	0.36	 ±	0.04		1020	0.40	 ±	0.03		10.00%	±	11.72%
HLT_Ele15_IsoVVVL_PFHT600_v3	1	0.60	 ±	0.04		1	0.54	 ±	0.04		10.00%	±	8.97%
HLT_Photon90_v3	90	0.30	 ±	0.02		90	0.27	 ±	0.03		10.00%	±	11.66%
HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v2	1	0.37	 ±	0.04		1	0.41	 ±	0.03		9.76%	±	11.45%
HLT_PFHT400_SixJet30_v3	22	0.42	 ±	0.04		22	0.38	 ±	0.03		9.52%	±	11.19%
