		HLT_DoubleEle37_Ele27_CaloIdL_GsfTrkIdVL_v2	EXO		L1_SingleEG40||L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_SingleEG24||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v2	null		L1_DoubleEG6_HTT255||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v5	null		L1_DoubleEG6_HTT255||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_DoubleIsoMu17_eta2p1_noDzCut_v2	null		L1_DoubleMu_12_5		
		HLT_DoubleIsoMu17_eta2p1_v4	TAU,HIG		L1_DoubleMu_12_5		
		HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v2	HIG (Hbb)		L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120		
		HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v2	HIG (Hbb)		L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120		
		HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v2	Higgs,Analysis		L1_DoubleJetC100		
		HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v2	Higgs,Analysis		L1_DoubleJetC100		
		HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v2	Higgs,Analysis		L1_DoubleJetC100		
