Path,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70,0.900000,+/-,0.019446,0.975191,+/-,0.021071,0.000000,+/-,0.000000,0.975191,+/-,0.021071,999.000000,+/-,0.000000
HLT_Ele27_eta2p1_WPLoose_Gsf,33.180000,+/-,0.118138,35.952024,+/-,0.128008,0.000000,+/-,0.000000,35.952024,+/-,0.128008,999.000000,+/-,0.000000
HLT_Mu8_DiEle12_CaloIdL_TrackIdL,0.230000,+/-,0.009925,0.249215,+/-,0.010754,0.000000,+/-,0.000000,0.249215,+/-,0.010754,999.000000,+/-,0.000000
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,3.730000,+/-,0.039625,4.041623,+/-,0.042935,0.000000,+/-,0.000000,4.041623,+/-,0.042935,999.000000,+/-,0.000000
HLT_Mu6_PFHT200_PFMET80_JetIdCleaned_BTagCSV0p72,0.500000,+/-,0.014470,0.541773,+/-,0.015679,0.000000,+/-,0.000000,0.541773,+/-,0.015679,999.000000,+/-,0.000000
HLT_DoubleMu4_JpsiTrk_Displaced,5.780000,+/-,0.049314,6.262890,+/-,0.053433,0.000000,+/-,0.000000,6.262890,+/-,0.053433,999.000000,+/-,0.000000
HLT_Mu7p5_Track7_Jpsi,0.630000,+/-,0.016250,0.682633,+/-,0.017608,0.000000,+/-,0.000000,0.682633,+/-,0.017608,999.000000,+/-,0.000000
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500,0.820000,+/-,0.018536,0.888507,+/-,0.020085,0.000000,+/-,0.000000,0.888507,+/-,0.020085,999.000000,+/-,0.000000
HLT_PFHT250,0.360000,+/-,0.012341,0.390076,+/-,0.013372,0.000000,+/-,0.000000,0.390076,+/-,0.013372,999.000000,+/-,0.000000
HLT_Mu7p5_Track2_Jpsi,1.590000,+/-,0.025896,1.722837,+/-,0.028059,0.000000,+/-,0.000000,1.722837,+/-,0.028059,999.000000,+/-,0.000000
HLT_Ele15_IsoVVVL_PFHT350,4.860000,+/-,0.045190,5.266029,+/-,0.048966,0.000000,+/-,0.000000,5.266029,+/-,0.048966,999.000000,+/-,0.000000
HLT_PixelTracks_Multiplicity85ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Ele15_IsoVVVL_PFHT600,0.670000,+/-,0.016755,0.725975,+/-,0.018155,0.000000,+/-,0.000000,0.725975,+/-,0.018155,999.000000,+/-,0.000000
HLT_Mu17_Photon30_CaloIdL_L1ISO,1.520000,+/-,0.025295,1.646988,+/-,0.027408,0.000000,+/-,0.000000,1.646988,+/-,0.027408,999.000000,+/-,0.000000
HLT_DoubleJet90_Double30_DoubleBTagCSV0p67,1.240000,+/-,0.022803,1.343596,+/-,0.024708,0.000000,+/-,0.000000,1.343596,+/-,0.024708,999.000000,+/-,0.000000
HLT_Mu17_TrkIsoVVL,15.210000,+/-,0.079974,16.480720,+/-,0.086655,0.000000,+/-,0.000000,16.480720,+/-,0.086655,999.000000,+/-,0.000000
HLT_IsoMu20_eta2p1_LooseIsoPFTau20,1.330000,+/-,0.023641,1.441115,+/-,0.025616,0.000000,+/-,0.000000,1.441115,+/-,0.025616,999.000000,+/-,0.000000
HLT_BTagMu_DiJet70_Mu5,21.910000,+/-,0.095984,23.740472,+/-,0.104003,0.000000,+/-,0.000000,23.740472,+/-,0.104003,999.000000,+/-,0.000000
HLT_HT275,0.450000,+/-,0.013744,0.487595,+/-,0.014892,0.000000,+/-,0.000000,0.487595,+/-,0.014892,999.000000,+/-,0.000000
