Prescale	Path	Group	Primary dataset	Total			HLTPhysics			
1	HLT_AK8DiPFJet280_200_TrimMass30_v2	B2G	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v5	null	OnlineMonitor,DoubleEG	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v3	Muon	OnlineMonitor,DoubleMuon	7.51533598249	±	2.65707251806	7.51533598249	±	2.65707251806	
1	HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v2	EXO	OnlineMonitor,MET	7.51533598249	±	2.65707251806	7.51533598249	±	2.65707251806	
1	HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3	Muon	OnlineMonitor,ExpressPhysics,DoubleMuon	7.51533598249	±	2.65707251806	7.51533598249	±	2.65707251806	
1	HLT_Mu24_eta2p1_v3	SMP,EXO	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v4	HIG	OnlineMonitor,DoubleEG	0.0	±	0	0.0	±	0	
1	HLT_PFHT350_v4	null	OnlineMonitor,HLTMonitor,JetHT	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v2	Higgs	OnlineMonitor,BTagCSV	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3	B2G	OnlineMonitor,JetHT	15.030671965	±	3.75766799124	15.030671965	±	3.75766799124	
1	HLT_RsqMR270_Rsq0p09_MR200_4jet_v3	SUSY	OnlineMonitor,HTMHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20_v2	B2G	OnlineMonitor,JetHT	14.0912549672	±	3.63834638767	14.0912549672	±	3.63834638767	
1	HLT_DoubleEle33_CaloIdL_MW_v2	EXO-Disappearing Tracks	OnlineMonitor,DoubleEG	4.69708498906	±	2.10060026632	4.69708498906	±	2.10060026632	
1	HLT_Mu17_Photon30_CaloIdL_L1ISO_v4	HIG	OnlineMonitor,MuonEG	6.57591898468	±	2.4854637536	6.57591898468	±	2.4854637536	
1	HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT250_v2	null	OnlineMonitor,MuonEG	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_QuadMuon0_Dimuon0_Jpsi_v3	BPH	OnlineMonitor,Charmonium	0.0	±	0	0.0	±	0	
1	HLT_Mu17_Mu8_SameSign_DZ_v2	null	OnlineMonitor,DoubleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
