Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
1,HLT_DoubleJetsC100_DoubleBTagCSV0p9_DoublePFJetsC100MaxDeta1p6_v2,SUSY,0.57,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.23,±,0.03,0.25,±,0.03,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
2,HLT_DiPFJetAve220_HFJEC_v3,JME,0.57,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.03,0.18,±,0.03,0.21,±,0.03,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.02,±,0.01
200,HLT_ZeroBias_v2,TSG,0.54,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.03,0.09,±,0.02,0.17,±,0.03,0.02,±,0.00,0.00,±,0.00,0.02,±,0.00,0.01,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.01,±,0.01,0.06,±,0.03,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_Mu17_Photon30_CaloIdL_L1ISO_v3,HIG,0.54,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.12,±,0.03,0.16,±,0.03,0.13,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
1,HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v3,B2G,0.53,±,0.09,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.03,±,0.02,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.01,±,0.01,0.10,±,0.05,0.19,±,0.04,0.06,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
10,HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v2,HIG,0.52,±,0.06,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.02,±,0.01,0.01,±,0.01,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.00,0.16,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.05,±,0.01,0.09,±,0.02,0.01,±,0.01
0,HLT_HISinglePhoton15ForEndOfFill_v1,HIN,0.52,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01,0.11,±,0.02,0.07,±,0.01,0.02,±,0.00,0.00,±,0.00,0.27,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
6,HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v2,HIG,0.51,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.26,±,0.03,0.20,±,0.02,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v3,EXO,0.51,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.12,±,0.04,0.21,±,0.03,0.12,±,0.02,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00
1,HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v3,SUSY,0.50,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.21,±,0.05,0.18,±,0.03,0.08,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00
100,HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_v2,EXO,0.47,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,0.37,±,0.01,0.00,±,0.00,0.01,±,0.00,0.01,±,0.01,0.01,±,0.01,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_DoubleMu3_Mass10_v1,"PPD,EXO",0.47,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.43,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
0,HLT_TkMu20_v2,SMP,0.46,±,0.07,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.19,±,0.04,0.05,±,0.01,0.05,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00
1,HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v4,SUSY,0.45,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.14,±,0.02,0.11,±,0.02,0.07,±,0.02
1,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v3,"HIG,SMP,TOP",0.44,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.10,±,0.02,0.10,±,0.02,0.04,±,0.01
1,HLT_Mu7p5_Track2_Upsilon_v2,BPH,0.44,±,0.07,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.26,±,0.05,0.07,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.02,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
180,HLT_PFJet260_v4,"JME,SMP,BTV",0.44,±,0.06,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.03,0.03,±,0.02,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,0.12,±,0.02,0.08,±,0.02
0,HLT_IsoMu18_TriCentralPFJet50_40_30_v2,TOP,0.40,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.17,±,0.03,0.05,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.02,±,0.01,0.13,±,0.02
10,HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3,HIG,0.40,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.15,±,0.02,0.24,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Photon90_CaloIdL_PFHT500_v3,"SUSY,EXO",0.40,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.05,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.03,±,0.02,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.10,±,0.02,0.09,±,0.02
1500,HLT_DiPFJetAve100_HFJEC_v3,JME,0.40,±,0.05,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.02,±,0.01,0.04,±,0.01,0.08,±,0.02,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.12,±,0.02,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1_v1,"TAU,HIG",0.38,±,0.06,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.16,±,0.04,0.08,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00
1,HLT_DoubleMu8_Mass8_PFHT250_v1,SUSY,0.37,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.11,±,0.03,0.09,±,0.02,0.07,±,0.02,0.02,±,0.01,0.01,±,0.01
1,HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v2,SUSY,0.37,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.02,±,0.02,0.01,±,0.01,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.06,±,0.01,0.07,±,0.02,0.08,±,0.02,0.01,±,0.01
2040,HLT_PFHT250_v2,SUSY,0.37,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.07,±,0.02,0.14,±,0.02,0.07,±,0.02
5,HLT_PFJet80_v4,"SMP,BTV",0.36,±,0.05,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.00,0.15,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.02,±,0.01,0.06,±,0.01,0.01,±,0.01
2500,HLT_Activity_Ecal_SC7_v2,ECAL,0.36,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.03,0.09,±,0.03,0.10,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00
1,HLT_Ele23_WPLoose_Gsf_TriCentralPFJet50_40_30_v2,TOP,0.35,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.07,±,0.04,0.13,±,0.03,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00
0,HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1,TOP,0.35,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.09,±,0.02,0.05,±,0.01,0.01,±,0.00,0.00,±,0.00,0.13,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.02,±,0.01,0.03,±,0.01
1,HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45_v3,B2G,0.34,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.14,±,0.02,0.06,±,0.01,0.01,±,0.00,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.02
1,HLT_Rsq0p30_v2,SUSY,0.34,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.04,±,0.01,0.01,±,0.00,0.00,±,0.00,0.01,±,0.00,0.11,±,0.02,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.02,±,0.01,0.07,±,0.03,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_AK8PFJet360_TrimMass30_v3,B2G,0.34,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.02,0.01,±,0.00,0.00,±,0.00,0.01,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.02,±,0.01,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.07,±,0.02,0.05,±,0.02
1,HLT_PFMET120_Mu5_v1,SUSY,0.34,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.16,±,0.01,0.15,±,0.00,0.00,±,0.00,0.01,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3,"HIG,SMP",0.34,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.01,0.00,±,0.00,0.02,±,0.01,0.02,±,0.02,0.01,±,0.01,0.07,±,0.03,0.10,±,0.04,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Ele115_CaloIdVT_GsfTrkIdT_v2,EXO,0.31,±,0.05,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.10,±,0.02,0.04,±,0.01,0.03,±,0.01
1,HLT_DoubleMu33NoFiltersNoVtx_v2,EXO,0.30,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.24,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00
1,HLT_Photon90_CaloIdL_PFHT600_v2,"SUSY,EXO",0.30,±,0.24,0.00,±,0.00,0.23,±,0.23,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
50,HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v2,"Muons,SMP",0.29,±,0.05,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.05,±,0.02,0.08,±,0.02,0.07,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_IsoMu17_eta2p1_MediumIsoPFTau40_Trk1_eta2p1_Reg_v5,"TAU,HIG",0.28,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.10,±,0.02,0.06,±,0.01,0.01,±,0.00,0.00,±,0.00,0.05,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_Photon500_v1,Hotline,0.27,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.13,±,0.02,0.10,±,0.01,0.01,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_Ele27_eta2p1_WPLoose_Gsf_v2,"Egamma,HIG,SMP",0.26,±,0.07,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.03,0.05,±,0.02,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v2,EXO,0.26,±,0.05,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.03,±,0.02,0.03,±,0.01,0.09,±,0.02,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
10,HLT_Ele15_IsoVVVL_PFHT350_v2,SUSY,0.26,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.02,0.04,±,0.01,0.01,±,0.00,0.00,±,0.00,0.09,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.02,±,0.01
1,HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50_v1,B2G,0.24,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.00,0.19,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
140,HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v2,EXO,0.24,±,0.05,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.08,±,0.03,0.02,±,0.01,0.03,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Dimuon6_Jpsi_NoVertexing_v2,BPH,0.23,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.06,±,0.01,0.04,±,0.01
1,HLT_QuadJet45_TripleBTagCSV0p67_v3,HIG,0.21,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.03,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.01,0.03,±,0.01
9,HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3,HIG,0.20,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.11,±,0.02,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
180,HLT_PFHT350_v3,"SUSY,EXO",0.18,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.01,0.04,±,0.01
250,HLT_DiPFJetAve200_v2,JME,0.16,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.04,±,0.01,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
